,0
id1,0
id2,0
id3,0
id4,0
id5,0
y,0
f1,491658
f2,447192
f3,661602
f4,701295
f5,231810
f6,150109
f7,367438
f8,234515
f9,284258
f10,253665
f11,356562
f12,242372
f13,769468
f14,769468
f15,769468
f16,769468
f17,769468
f18,769468
f19,769468
f20,769468
f21,769468
f22,290324
f23,290324
f24,290324
f25,290324
f26,290324
f27,290324
f28,38651
f29,545869
f30,75023
f31,272616
f32,263374
f33,741697
f34,769760
f35,559275
f36,731348
f37,768919
f38,16893
f39,230721
f40,564559
f41,183399
f42,319428
f43,319428
f44,190663
f45,190663
f46,190663
f47,190663
f48,503711
f49,190663
f50,190663
f51,190663
f52,190663
f53,254467
f54,254467
f55,254467
f56,254467
f57,432892
f58,254467
f59,8203
f60,8187
f61,8185
f62,8185
f63,8185
f64,750217
f65,8185
f66,750214
f67,8193
f68,8623
f69,8236
f70,750214
f71,8185
f72,8185
f73,8196
f74,8185
f75,8185
f76,8561
f77,8185
f78,341333
f79,736392
f80,770086
f81,704638
f82,519578
f83,419414
f84,769278
f85,35255
f86,8185
f87,8185
f88,750214
f89,8185
f90,8185
f91,8185
f92,750214
f93,8185
f94,7703
f95,7703
f96,7703
f97,7703
f98,7703
f99,7703
f100,7703
f101,7703
f102,7703
f103,7703
f104,294368
f105,12334
f106,17397
f107,85839
f108,16928
f109,11674
f110,243537
f111,53386
f112,770164
f113,7703
f114,722791
f115,489026
f116,580704
f117,704405
f118,729655
f119,610686
f120,769911
f121,691823
f122,770164
f123,36814
f124,36814
f125,36814
f126,36814
f127,36814
f128,36814
f129,36814
f130,96336
f131,118562
f132,38098
f133,109124
f134,81455
f135,770164
f136,770164
f137,36844
f138,75023
f139,229732
f140,217555
f141,217555
f142,217555
f143,217555
f144,217555
f145,217555
f146,36814
f147,36814
f148,36814
f149,36814
f150,75023
f151,160156
f152,40714
f153,40714
f154,751696
f155,40714
f156,40714
f157,40714
f158,40714
f159,40714
f160,40714
f161,40714
f162,40714
f163,40714
f164,40714
f165,40714
f166,40714
f167,40714
f168,40714
f169,40714
f170,40714
f171,40714
f172,40714
f173,40714
f174,40714
f175,40714
f176,751696
f177,40714
f178,40714
f179,40714
f180,40714
f181,40714
f182,40714
f183,40714
f184,40714
f185,40714
f186,40714
f187,542769
f188,542769
f189,765257
f190,542769
f191,542769
f192,542769
f193,542769
f194,542769
f195,542769
f196,542769
f197,542769
f198,41158
f199,7643
f200,7643
f201,7643
f202,7643
f203,7643
f204,7643
f205,753131
f206,492234
f207,492234
f208,422656
f209,422656
f210,422656
f211,422656
f212,422656
f213,68821
f214,68821
f215,68821
f216,71026
f217,274151
f218,579496
f219,281290
f220,746072
f221,762406
f222,283575
f223,18
f224,18
f225,18
f226,18
f227,18
f228,18
f229,18
f230,18
f231,18
f232,18
f233,18
f234,18
f235,18
f236,18
f237,18
f238,18
f239,18
f240,18
f241,18
f242,18
f243,18
f244,18
f245,18
f246,18
f247,18
f248,18
f249,18
f250,18
f251,18
f252,18
f253,18
f254,18
f255,18
f256,18
f257,18
f258,18
f259,18
f260,18
f261,18
f262,18
f263,18
f264,18
f265,18
f266,18
f267,18
f268,18
f269,18
f270,18
f271,18
f272,18
f273,18
f274,18
f275,18
f276,18
f277,18
f278,18
f279,18
f280,18
f281,18
f282,18
f283,18
f284,18
f285,18
f286,18
f287,18
f288,18
f289,18
f290,18
f291,18
f292,18
f293,18
f294,18
f295,18
f296,18
f297,18
f298,18
f299,18
f300,18
f301,18
f302,18
f303,18
f304,18
f305,18
f306,18
f307,18
f308,18
f309,18
f310,195741
f311,195737
f312,195737
f313,192403
f314,182430
f315,182430
f316,182430
f317,182430
f318,182430
f319,182430
f320,182430
f321,182430
f322,182430
f323,182430
f324,182430
f325,195753
f326,195738
f327,195737
f328,195737
f329,195753
f330,195738
f331,195737
f332,18
f333,18
f334,18
f335,18
f336,132103
f337,130900
f338,129921
f339,129894
f340,129894
f341,132302
f342,131255
f343,130276
f344,129880
f345,129880
f346,129880
f347,197029
f348,197029
f349,0
f350,0
f351,141991
f352,141991
f353,141991
f354,141991
f355,182430
f356,182430
f357,182430
f358,141991
f359,42989
f360,769932
f361,115752
f362,115752
f363,115752
f364,108314
f365,108314
f366,108314
